,District,Area (ha),Area of Images (ha),Population,No. of BS,BS/ha land,BS/ha image,BS/person,Jar (%),Bucket (%),Potted plant (%),Tire (%),Bin (%),Bowl (%),Cup (%),Vase (%)
24,Din Daeng,873.67,1461.67,123966,6287,7.2,4.3,0.05,1.24,29.6,50.52,6.06,10.59,1.99,1.13,0.32
25,Bung Kum,2415.55,2690.33,285225,10872,4.5,4.04,0.04,1.61,30.51,54.66,5.55,6.71,0.96,0.42,0.15
26,Sa Thon,749.0,933.89,80497,3095,4.13,3.31,0.04,1.03,22.84,60.42,7.63,6.07,2.0,1.23,0.39
27,Bang Su,1330.0,933.89,126136,2915,2.19,3.12,0.02,1.27,29.57,53.34,5.87,8.95,0.99,0.55,0.14
28,Chatuchak,3371.0,5055.33,158130,12586,3.73,2.49,0.08,1.41,26.08,56.24,7.37,7.55,1.34,0.96,0.2
29,Bang Kho Laem,857.55,689.22,90377,2806,3.27,4.07,0.03,0.86,25.87,54.74,7.31,9.59,1.64,1.14,0.32
30,Prawet,5542.44,3196.89,294501,6912,1.25,2.16,0.02,2.03,31.87,47.44,6.47,11.4,0.8,0.67,0.13
31,Khlong Toei,1366.0,1153.44,188739,2938,2.15,2.55,0.02,1.06,21.31,58.99,6.81,10.38,1.46,2.18,0.54
32,Chom Thong,2390.22,1626.33,208214,8038,3.36,4.94,0.04,1.27,32.56,54.03,5.75,5.39,1.01,0.91,0.19
33,Don Mueang,3788.89,3359.22,168896,13268,3.5,3.95,0.08,2.67,30.36,54.06,4.76,7.24,0.91,0.54,0.16
34,Rat Thewi,739.78,1199.78,72436,2178,2.94,1.82,0.03,0.83,24.01,53.76,9.73,7.48,4.18,3.12,0.83
35,Lat Phrao,2195.0,3023.55,121000,12542,5.71,4.15,0.1,1.52,24.77,61.05,4.86,7.12,0.67,0.59,0.22
36,Bang Khae,4941.66,1934.55,52378,6152,1.24,3.18,0.12,2.49,33.31,50.55,6.36,6.47,0.83,0.78,0.23
37,Lak Si,2340.44,3055.0,105588,9977,4.26,3.27,0.09,2.05,27.37,56.35,5.42,7.88,0.92,0.79,0.16
38,Sai Mai,4503.0,2530.33,200374,10644,2.36,4.21,0.05,3.47,30.82,49.78,5.61,9.56,0.76,0.51,0.18
39,Khanna Yao,2619.44,2630.78,49575,8721,3.33,3.31,0.18,1.67,30.93,52.34,5.29,9.06,0.71,0.52,0.16
40,Wang Thong Lang,1762.11,2394.0,112849,8877,5.04,3.71,0.08,1.31,33.06,47.04,7.21,10.35,1.03,0.62,0.18
41,Khlong Sam Wa,12405.43,3785.89,189507,10057,0.81,2.66,0.05,2.51,36.68,46.51,7.17,6.48,0.65,0.52,0.07
42,Bang Na,1954.44,574.78,92023,1536,0.79,2.67,0.02,1.3,33.2,44.66,10.03,9.83,0.98,0.72,0.46
43,Thawi Watthana,5339.55,2532.78,77890,4179,0.78,1.65,0.05,2.23,30.65,44.99,11.39,10.34,0.41,0.53,0.14
44,Thung Khu,3398.55,1328.33,66430,5004,1.47,3.77,0.08,1.04,34.93,50.8,5.1,7.47,0.66,0.48,0.18
45,Bang Bon,3699.11,2383.78,107136,9481,2.56,3.98,0.09,1.73,40.78,44.66,6.34,5.48,1.01,0.78,0.14
